95517,40014,100162,96219,95794,15388,82008,111007,39718,114649,53045,80765,
72664,24913,96344,49950,69964,100758,19579,77140,17786,35801,57531,61039,
77603,21831,91618,119700,10829,93513,79740,29872,21441,102536,65659,69984,
37049,56971,38752,45018,81268,29513,91247,14445,74496,23530,71714,88477,
93193,90744,115931,16874,72288,33639,49087,62267,86802,74845,91307,101026,
110275,25297,14090,16755,69671,92664,108924,101413,102232,37592,101170,58449,
40088,103761,43904,13082,62039,91385,119577,99380,74356,80722,26342,47101,
90133,69136,42044,42477,107047,51987,70223,113663,71228,97253,68913,109964,
51321,63750,22096,39543,112743,104003,76278,31800,70132,81672,75336,79039,
73456,100471,37607,15309,43415,27720,67319,33794,49205,53961,44556,69353,
